id_municipio,IN_AGUA_POTAVEL,IN_ESGOTO_REDE_PUBLICA,IN_ENERGIA_REDE_PUBLICA,IN_LIXO_SERVICO_COLETA,IN_INTERNET,IN_INTERNET_ALUNOS,IN_COMPUTADOR,IN_DESKTOP_ALUNO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_SALA_LEITURA,IN_LABORATORIO_INFORMATICA,mat_2ano_total,n_escolas_2ano,infra_saneamento,infra_conectividade,infra_pedagogico
4310330,1.0,0.3275862068965517,1.0,1.0,1.0,0.8004926108374384,0.9458128078817734,0.9458128078817734,0.874384236453202,1.0,0.8004926108374384,0.9458128078817734,406,8,0.8319,0.923,0.9052
4310363,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,35,2,0.75,1.0,0.75
4310405,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,69,2,0.75,1.0,0.75
4310413,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,26,1,0.75,1.0,0.5
4310439,1.0,0.6351351351351351,1.0,0.9324324324324325,1.0,0.3783783783783784,1.0,0.43243243243243246,0.8243243243243243,0.8243243243243243,0.06756756756756757,0.25675675675675674,74,5,0.8919,0.7027,0.4932
4310462,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,18,1,0.75,1.0,0.75
4310504,1.0,0.4489795918367347,1.0,0.9285714285714286,1.0,0.5408163265306123,1.0,0.5918367346938775,0.3673469387755102,0.6224489795918368,0.32653061224489793,0.2857142857142857,98,9,0.8444,0.7832,0.4005
4310538,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,63,1,1.0,0.75,0.0
4310553,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,34,2,0.75,0.75,0.5
4310579,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,22,1,1.0,1.0,0.25
4310603,1.0,0.7557077625570776,1.0,0.8926940639269406,1.0,0.6210045662100456,1.0,0.9155251141552512,1.0,1.0,0.16210045662100456,0.8333333333333334,438,18,0.9121,0.8841,0.7489
